There is the inconvenient truth that skin cancer lesions frequently occur on parts of the body least exposed to sunlight.	relevant
Skin cancer lesions often occur on the soles of the feet, under the nails, on the genitals and inside the nose and mouth.	relevant
The evidence clearly shows that those who spend more time in the sun (without burning) have less risk of melanoma, the deadliest form of skin cancer.	relevant
Rates of melanoma, the deadliest form of skin cancer, have been rising for at least the last three decades, and this increase has been largely blamed on exposure to ultraviolet (UV) light from the sun.	relevant
Research published in the British Journal of Dermatology shows that the sun is likely nothing more than a scapegoat in the development of melanoma, and the sharp increase may actually be "an artifact caused by diagnostic drift."	relevant
Melanoma Increases Due to Benign Disease, Not Sunlight.	relevant
The researchers revealed that, rather than being fueled by increasing exposure to sunlight as is commonly suggested, the increased incidence was almost entirely due to minimal, stage 1 disease.	relevant
The researchers noted that the large increase in reported skin cancer incidence is likely to be due to diagnostic drift, which classifies benign lesions as stage 1 melanoma.	irrelevant
People are being diagnosed with melanoma skin cancer even when they have only a minimal, non-cancerous lesion, and these diagnoses appear to be skewing disease rates significantly.	irrelevant
Adding even more credence to the growing body of evidence showing sun exposure is not the primary cause of melanoma, the researchers noted that the distribution of the lesions reported did not correspond to the sites of lesions caused by sun exposure.	relevant
The researchers concluded: "These findings should lead to  re-evaluation of the role of sun radiation and recommendations for protection from it, as well as the need for a new direction in the search for the cause of melanoma."	relevant
Despite all the bad press linking sun exposure to skin cancer, there's almost no evidence at all to support it.	relevant
Over the years, several studies have confirmed that appropriate sun exposure actually helps prevent skin cancer.	relevant
In fact, melanoma occurrence has been found to decrease with greater sun exposure, and can be increased by sunscreens.	relevant
One of the most important facts you should know is that an epidemic of the skin cancer has in fact broken out among indoor workers.	relevant
Indoor workers get three to nine times LESS solar UV exposure than outdoor workers get, yet only indoor workers have increasing rates of melanoma -- and the rates have been increasing since before 1940.	relevant
There are two primary types of UV rays from sunlight, the vitamin-D-producing UVB rays and the skin-damaging UVA light.	irrelevant
Both UVA and UVB can cause tanning and burning, although UVB does so far more rapidly.	irrelevant
