"n September 23, 2014, an Italian court in Milan awarded compensation to a boy for vaccine-induced autism.",relevant,support
A childhood vaccine against six childhood diseases caused the boyâs permanent autism and brain damage.,relevant,support
"Based on expert medical testimony, the court concluded that the child more likely than not suffered autism and brain damage because of the neurotoxic mercury, aluminum and his particular susceptibility from a genetic mutation.",relevant,support
"The confidential industry document from vaccine manufacturers provided ample evidence of adverse events from the vaccine, including five known cases of autism resulting from the vaccineâs administration during its clinical trials.",relevant,oppose
"On May 23, 2012, Judge Lucio Ardigo of an Italian court in Rimini presided over a similar judgment, finding that a different vaccine, the Measles-Mumps-Rubella vaccine (MMR), had caused a childâs autism.",relevant,support
Both these Italian court decisions break new ground in the roiling debate over vaccines and autism.,relevant,support
"The courtsâ decisions are striking because they not only find a vaccine-autism causal link, but they also overrule the decisions of Italyâs Ministry of Health.",relevant,support
"And taken together, the court decisions found that both the MMR and a hexavalent thimerosal- and aluminum-containing vaccine can trigger autism.",relevant,oppose
The claim that the MMR vaccine causes autism originated with a 1998 paper published by Dr. Andrew Wakefield and 12 co-authors in the prestigious British medical journal The Lancet.,relevant,support
"Interestingly, this paper explicitly states, ""We did not prove an association between measles, mumps, and rubella vaccine and the syndrome described.""",irrelevant,neutral
"Although the paper does suggest that the MMR vaccine 'might'  be related to autism, it closes with the caution that, ""further investigations are needed to examine this regressive autism syndrome and its possible relation to this vaccine.""",relevant,oppose
"The 1998 Lancet paper put forward two hypotheses: first, that regressive autism might be caused by or related to some intestinal dysfunction and second that this intestinal dysfunction might be caused by the MMR vaccine.",relevant,oppose
"In 8 of these 12 children, behavioral regression was linked to the MMR vaccination ""either by the parents or by the child's physician.""",relevant,neutral
"In these eight children, the paper reported that behavioral symptoms occurred very soon after vaccination, roughly 6 days on average.",relevant,neutral
"Given these findings, especially the short time between the MMR vaccination and the claimed onset of behavioral symptoms, the suggestion that the MMR vaccination may have had something to do with regressive autism does not appear unreasonable.",relevant,oppose
This is still the only scientific study which posits a connection between the MMR vaccine and autism.,relevant,oppose
At least a dozen major studies have found that early childhood vaccines do not cause autism.,relevant,oppose
But one possibility remained: that immunizations could cause autism in a small group of children who were already primed to develop the disorder.,relevant,neutral
"Now, new research has ruled out that possibility too.",irrelevant,neutral
"A study of nearly 100,000 children found that toddlers known to have an elevated risk of autism were no more likely to be diagnosed with the disorder if they were vaccinated against measles, mumps and rubella than if they werenât.",relevant,neutral
